f    ASD
1.084072757201585312e-04 5.133163357820035800e-17
1.105110425770865500e-04 4.852978456455298196e-17
1.126556354298615314e-04 4.588338014381335602e-17
1.148418465535069622e-04 4.338376150770674709e-17
1.170704835980478802e-04 4.102275159846277862e-17
1.193423698868784880e-04 3.879256946120759224e-17
1.216583447209236741e-04 3.668589815607887343e-17
1.240192636886994085e-04 3.469588673378222805e-17
1.264259989823933320e-04 3.281598698125159305e-17
1.288794397200774178e-04 3.104011675199709006e-17
1.313804922741740940e-04 2.936239125070493223e-17
1.339300806062966348e-04 2.777737127763961264e-17
1.365291466085875275e-04 2.627989863885781088e-17
1.391786504516809081e-04 2.486506984636436010e-17
1.418795709394168392e-04 2.352828801768570789e-17
1.446329058704415998e-04 2.226519211107391582e-17
1.474396724068212448e-04 2.107167594076347426e-17
1.503009074498133657e-04 1.994387788830733127e-17
1.532176680229261267e-04 1.887811882552163362e-17
1.561910316624159304e-04 1.787095020907009206e-17
1.592220968153584251e-04 1.691910703791299332e-17
1.623119832454484918e-04 1.601950866100407007e-17
1.654618324466728394e-04 1.516924573956905687e-17
1.686728080650111178e-04 1.436557850293935635e-17
1.719460963283207778e-04 1.360591296685233975e-17
1.752829064845640541e-04 1.288779868774616838e-17
1.786844712485396471e-04 1.220892652306078005e-17
1.821520472572823839e-04 1.156711748806177098e-17
1.856869155343037620e-04 1.096031162052094413e-17
1.892903819628362772e-04 1.038656275667529394e-17
1.929637777682679102e-04 9.844036357234467155e-18
1.967084600099324094e-04 9.331000722890511398e-18
2.005258120824495805e-04 8.845818529690210531e-18
2.044172442267886726e-04 8.386945786936868099e-18
2.083841940512544920e-04 7.952923533068143533e-18
2.124281270625808275e-04 7.542374847869913055e-18
2.165505372073315757e-04 7.153999817368881886e-18
2.207529474238079483e-04 6.786571768032905856e-18
2.250369102046662680e-04 6.438931028205952740e-18
2.294040081704539250e-04 6.109983284148888725e-18
2.338558546542755356e-04 5.798696692796489719e-18
2.383940942978053580e-04 5.504094622327063821e-18
2.430204036588645678e-04 5.225256958635122055e-18
2.477364918307931345e-04 4.961313887693694007e-18
2.525441010738351737e-04 4.711444864826958073e-18
2.574450074587843217e-04 4.474873848089682902e-18
2.624410215231123703e-04 4.250869945006777829e-18
2.675339889398373303e-04 4.038741572008001978e-18
2.727257911993672822e-04 3.837836461968045477e-18
2.780183463045781604e-04 3.647538208040404725e-18
2.834136094793797715e-04 3.467265482603556221e-18
2.889135738910324235e-04 3.296468706168599318e-18
2.945202713864809342e-04 3.134629193910185653e-18
3.002357732429779898e-04 2.981257450158152176e-18
3.060621909332746277e-04 2.835890768746401530e-18
3.120016769056581634e-04 2.698092523438550588e-18
3.180564253791326262e-04 2.567450361180659330e-18
3.242286731540224595e-04 2.443574912293405822e-18
3.305207004383167225e-04 2.326098447286806552e-18
3.369348316900392087e-04 2.214673699533993269e-18
3.434734364759759774e-04 2.108972800575463761e-18
3.501389303470575317e-04 2.008685975308733252e-18
3.569337757307371661e-04 1.913520866259996911e-18
3.638604828406816921e-04 1.823201210506853424e-18
3.709216106041178540e-04 1.737466178398752694e-18
3.781197676071744408e-04 1.656069390348279146e-18
3.854576130585698579e-04 1.578778142548297617e-18
3.929378577720019148e-04 1.505372708188069297e-18
4.005632651675990262e-04 1.435645429050860358e-18
4.083366522928125121e-04 1.369400224760607654e-18
4.162608908631100090e-04 1.306451876505509200e-18
4.243389083228771611e-04 1.246625406005133555e-18
4.325736889268941635e-04 1.189755482197248611e-18
4.409682748428130831e-04 1.135685940038150219e-18
4.495257672750168406e-04 1.084269221456016732e-18
4.582493276102988979e-04 1.035365897969911240e-18
4.671421785857697421e-04 9.888442329541193162e-19
4.762076054794297532e-04 9.445797294383913793e-19
4.854489573238469089e-04 9.024547393425592293e-19
4.948696481433867205e-04 8.623580665246687597e-19
5.044731582154528575e-04 8.241846081287018356e-19
5.142630353562002189e-04 7.878350197360733346e-19
5.242428962312070456e-04 7.532153811282464628e-19
5.344164276915689153e-04 7.202369050274964853e-19
